ID,Epic,User story,Priorite finale,Justification,Sprint cible,Owner,Dependances
B09,Gouvernance,"En tant que PO, je veux un backlog priorise avec arbitrages",1,"Haute priorite + complexite S ; prerequis de tout le sequencement ; traite des la phase 1 en comite",Phase 1 (S1-S2),Product Owner,Comite projet
B02,Reporting,"En tant que direction, je veux un reporting hebdomadaire des KPI",1,"Haute priorite + complexite S (quick win) ; repond a F02 ; depend de la definition des KPI faite en phase 1",Sprint 1 (S3-S4),Lead Data,Definition KPI (phase 1)
B03,Support,"En tant que support, je veux une procedure escalade incident",1,"Haute priorite + complexite S ; repond a F04 (impact eleve frequent) ; la RACI prealable est livree en phase 1",Sprint 1 (S3-S4),Referent support,Roles RACI (phase 1)
B08,RSE,"En tant que direction RSE, je veux suivre l empreinte numerique du service",2,"Complexite L -> demarrage anticipe malgre priorite moyenne ; objectif O5 impose un indicateur defini en S4 ; repond a F06",Sprint 1 (S3-S4) definition puis suivi mensuel,MLOps,Definition indicateur
B01,Adoption,"En tant qu agent supervision, je veux comprendre une alerte en moins de 2 minutes",1,"Haute priorite ; repond a F01 (impact eleve frequent) et au persona Malik ; cible KPI 5->2 min",Sprint 2 (S5-S6),Data Engineer + Referent metier,Documentation alertes
B10,Qualite,"En tant que lead data, je veux un canal de feedback structure",2,"Complexite S ; alimente l amelioration continue et la mitigation de R01 ; necessaire avant le pilote",Sprint 2 (S5-S6),Lead Data,Formulaire feedback
B04,Accessibilite,"En tant qu utilisateur lecteur ecran, je veux une documentation compatible",1,"Haute priorite ; exigence transverse d inclusion (R04, F05, persona Jules) ; validee par le referent accessibilite",Sprint 3 (S7-S8),Data Engineer + Referent accessibilite,Validation referent accessibilite
B05,Produit,"En tant qu analyste, je veux exporter les anomalies au format CSV",3,"Priorite moyenne, statut prototype ; aucune story haute priorite n en depend",Sprint 3 (S7-S8),Data Engineer,Permissions
B06,Produit,"En tant que manager, je veux voir la tendance des anomalies par ligne",3,"Priorite moyenne ; depend de la qualite data garantie par le Lead Data",Sprint 3 (S7-S8),Data Engineer,Qualite data
B07,Formation,"En tant que formateur, je veux un support atelier de 45 minutes",1,"Haute priorite + complexite S ; coeur de l objectif O4 ; realise en phase 3 avec le plan d accompagnement",Phase 3 (S6-S10),Referent metier,Plan accompagnement
